Epoch: [1][47/362]	Time 0.527 (0.635)	Data 0.227 (0.243)	Loss 0.4072 (1.4346)	MAE 0.554 (1.011)
Epoch: [1][48/362]	Time 0.591 (0.634)	Data 0.269 (0.243)	Loss 6.1826 (1.5335)	MAE 1.929 (1.030)
Epoch: [1][49/362]	Time 0.429 (0.630)	Data 0.144 (0.241)	Loss 1.3267 (1.5293)	MAE 0.848 (1.027)
Epoch: [1][50/362]	Time 0.493 (0.627)	Data 0.125 (0.239)	Loss 2.6523 (1.5517)	MAE 1.174 (1.029)
Epoch: [1][51/362]	Time 0.293 (0.620)	Data 0.001 (0.234)	Loss 1.6025 (1.5527)	MAE 1.031 (1.029)
Epoch: [1][52/362]	Time 0.595 (0.620)	Data 0.085 (0.231)	Loss 2.6480 (1.5738)	MAE 1.282 (1.034)
Epoch: [1][53/362]	Time 1.141 (0.630)	Data 0.661 (0.239)	Loss 3.4124 (1.6085)	MAE 1.458 (1.042)
Epoch: [1][54/362]	Time 0.334 (0.624)	Data 0.001 (0.235)	Loss 0.9365 (1.5960)	MAE 0.977 (1.041)
Epoch: [1][55/362]	Time 0.406 (0.620)	Data 0.076 (0.232)	Loss 3.3043 (1.6271)	MAE 1.224 (1.044)
Epoch: [1][56/362]	Time 0.780 (0.623)	Data 0.063 (0.229)	Loss 0.6842 (1.6103)	MAE 0.699 (1.038)
Epoch: [1][57/362]	Time 0.986 (0.630)	Data 0.470 (0.233)	Loss 2.6156 (1.6279)	MAE 1.254 (1.042)
Epoch: [1][58/362]	Time 0.286 (0.624)	Data 0.001 (0.229)	Loss 0.5325 (1.6090)	MAE 0.667 (1.036)
Epoch: [1][59/362]	Time 0.326 (0.619)	Data 0.001 (0.225)	Loss 1.7063 (1.6107)	MAE 1.201 (1.038)
Epoch: [1][60/362]	Time 0.517 (0.617)	Data 0.034 (0.222)	Loss 0.4765 (1.5918)	MAE 0.609 (1.031)
Epoch: [1][61/362]	Time 1.733 (0.635)	Data 0.664 (0.230)	Loss 1.1786 (1.5850)	MAE 0.860 (1.028)
Epoch: [1][62/362]	Time 0.761 (0.637)	Data 0.285 (0.230)	Loss 0.7458 (1.5714)	MAE 0.759 (1.024)
Epoch: [1][63/362]	Time 0.300 (0.632)	Data 0.001 (0.227)	Loss 0.7116 (1.5578)	MAE 0.628 (1.018)
Epoch: [1][64/362]	Time 1.031 (0.638)	Data 0.271 (0.227)	Loss 0.7661 (1.5454)	MAE 0.661 (1.012)
Epoch: [1][65/362]	Time 0.910 (0.642)	Data 0.598 (0.233)	Loss 0.7758 (1.5336)	MAE 0.828 (1.009)
Epoch: [1][66/362]	Time 0.360 (0.638)	Data 0.096 (0.231)	Loss 0.4375 (1.5170)	MAE 0.625 (1.004)
Epoch: [1][67/362]	Time 0.565 (0.637)	Data 0.319 (0.232)	Loss 1.0005 (1.5093)	MAE 0.908 (1.002)
Epoch: [1][68/362]	Time 0.604 (0.636)	Data 0.180 (0.232)	Loss 0.6015 (1.4959)	MAE 0.669 (0.997)
Epoch: [1][69/362]	Time 2.159 (0.658)	Data 0.878 (0.241)	Loss 0.7227 (1.4847)	MAE 0.643 (0.992)
Epoch: [1][70/362]	Time 0.509 (0.656)	Data 0.001 (0.238)	Loss 0.4732 (1.4703)	MAE 0.628 (0.987)
Epoch: [1][71/362]	Time 0.472 (0.654)	Data 0.000 (0.234)	Loss 0.6079 (1.4581)	MAE 0.741 (0.983)
Epoch: [1][72/362]	Time 0.517 (0.652)	Data 0.001 (0.231)	Loss 1.2760 (1.4556)	MAE 1.032 (0.984)
